"","region_txt","date","sum"
"155","Central America & Caribbean",1973-07-01 10:00:00,0
"156","Central America & Caribbean",1973-09-01 10:00:00,0
"157","Central America & Caribbean",1974-02-01 11:00:00,0
"158","Central America & Caribbean",1974-03-01 11:00:00,0
"159","Central America & Caribbean",1974-04-01 10:00:00,0
"160","Central America & Caribbean",1974-05-01 10:00:00,0
"161","Central America & Caribbean",1974-06-01 10:00:00,0
"162","Central America & Caribbean",1974-08-01 10:00:00,0
"163","Central America & Caribbean",1974-09-01 10:00:00,0
"164","Central America & Caribbean",1974-12-01 11:00:00,0
"165","Central America & Caribbean",1975-04-01 10:00:00,2
"166","Central America & Caribbean",1975-06-01 10:00:00,0
"167","Central America & Caribbean",1975-08-01 10:00:00,11
"168","Central America & Caribbean",1975-11-01 11:00:00,19
"169","Central America & Caribbean",1975-12-01 11:00:00,4
"170","Central America & Caribbean",1976-01-01 11:00:00,2
"171","Central America & Caribbean",1976-02-01 11:00:00,1
"172","Central America & Caribbean",1976-03-01 11:00:00,0
"173","Central America & Caribbean",1976-04-01 10:00:00,0
"174","Central America & Caribbean",1976-05-01 10:00:00,1
"175","Central America & Caribbean",1976-06-01 10:00:00,1
"176","Central America & Caribbean",1976-07-01 10:00:00,1
"177","Central America & Caribbean",1976-08-01 10:00:00,3
"178","Central America & Caribbean",1976-09-01 10:00:00,0
"179","Central America & Caribbean",1976-10-01 10:00:00,73
"180","Central America & Caribbean",1976-11-01 11:00:00,2
"181","Central America & Caribbean",1977-01-01 11:00:00,0
"182","Central America & Caribbean",1977-02-01 11:00:00,1
"183","Central America & Caribbean",1977-04-01 10:00:00,1
"184","Central America & Caribbean",1977-05-01 10:00:00,0
"185","Central America & Caribbean",1977-06-01 10:00:00,0
"186","Central America & Caribbean",1977-07-01 10:00:00,0
"187","Central America & Caribbean",1977-09-01 10:00:00,4
"188","Central America & Caribbean",1977-10-01 10:00:00,26
"189","Central America & Caribbean",1977-12-01 11:00:00,4
"190","Central America & Caribbean",1978-01-01 11:00:00,2
"191","Central America & Caribbean",1978-02-01 11:00:00,29
"192","Central America & Caribbean",1978-03-01 11:00:00,8
"193","Central America & Caribbean",1978-04-01 10:00:00,3
"194","Central America & Caribbean",1978-05-01 10:00:00,4
"195","Central America & Caribbean",1978-06-01 10:00:00,19
"196","Central America & Caribbean",1978-07-01 10:00:00,4
"197","Central America & Caribbean",1978-08-01 10:00:00,5
"198","Central America & Caribbean",1978-09-01 10:00:00,8
"199","Central America & Caribbean",1978-10-01 10:00:00,14
"200","Central America & Caribbean",1978-11-01 11:00:00,51
"201","Central America & Caribbean",1978-12-01 11:00:00,17
"202","Central America & Caribbean",1979-01-01 11:00:00,49
"203","Central America & Caribbean",1979-02-01 11:00:00,71
"204","Central America & Caribbean",1979-03-01 11:00:00,45
"205","Central America & Caribbean",1979-04-01 10:00:00,7
"206","Central America & Caribbean",1979-05-01 10:00:00,122
"207","Central America & Caribbean",1979-06-01 10:00:00,31
"208","Central America & Caribbean",1979-07-01 10:00:00,1
"209","Central America & Caribbean",1979-08-01 10:00:00,19
"210","Central America & Caribbean",1979-09-01 10:00:00,30
"211","Central America & Caribbean",1979-10-01 10:00:00,50
"212","Central America & Caribbean",1979-11-01 11:00:00,35
"213","Central America & Caribbean",1979-12-01 11:00:00,76
"214","Central America & Caribbean",1980-01-01 11:00:00,107
"215","Central America & Caribbean",1980-02-01 11:00:00,52
"216","Central America & Caribbean",1980-03-01 11:00:00,196
"217","Central America & Caribbean",1980-04-01 10:00:00,285
"218","Central America & Caribbean",1980-05-01 10:00:00,396
"219","Central America & Caribbean",1980-06-01 10:00:00,201
"220","Central America & Caribbean",1980-07-01 10:00:00,191
"221","Central America & Caribbean",1980-08-01 10:00:00,558
"222","Central America & Caribbean",1980-09-01 10:00:00,262
"223","Central America & Caribbean",1980-10-01 10:00:00,336
"224","Central America & Caribbean",1980-11-01 11:00:00,215
"225","Central America & Caribbean",1980-12-01 11:00:00,177
"226","Central America & Caribbean",1981-01-01 11:00:00,333
"227","Central America & Caribbean",1981-02-01 11:00:00,271
"228","Central America & Caribbean",1981-03-01 10:00:00,390
"229","Central America & Caribbean",1981-04-01 10:00:00,200
"230","Central America & Caribbean",1981-05-01 10:00:00,182
"231","Central America & Caribbean",1981-06-01 10:00:00,349
"232","Central America & Caribbean",1981-07-01 10:00:00,219
"233","Central America & Caribbean",1981-08-01 10:00:00,187
"234","Central America & Caribbean",1981-09-01 10:00:00,269
"235","Central America & Caribbean",1981-10-01 10:00:00,143
"236","Central America & Caribbean",1981-11-01 11:00:00,213
"237","Central America & Caribbean",1981-12-01 11:00:00,395
"238","Central America & Caribbean",1982-01-01 11:00:00,537
"239","Central America & Caribbean",1982-02-01 11:00:00,358
"240","Central America & Caribbean",1982-03-01 11:00:00,277
"241","Central America & Caribbean",1982-04-01 11:00:00,226
"242","Central America & Caribbean",1982-05-01 10:00:00,344
"243","Central America & Caribbean",1982-06-01 10:00:00,244
"244","Central America & Caribbean",1982-07-01 10:00:00,373
"245","Central America & Caribbean",1982-08-01 10:00:00,127
"246","Central America & Caribbean",1982-09-01 10:00:00,77
"247","Central America & Caribbean",1982-10-01 10:00:00,529
"248","Central America & Caribbean",1982-11-01 11:00:00,66
"249","Central America & Caribbean",1982-12-01 11:00:00,240
"250","Central America & Caribbean",1983-01-01 11:00:00,353
"251","Central America & Caribbean",1983-02-01 11:00:00,300
"252","Central America & Caribbean",1983-03-01 11:00:00,304
"253","Central America & Caribbean",1983-04-01 10:00:00,631
"254","Central America & Caribbean",1983-05-01 10:00:00,864
"255","Central America & Caribbean",1983-06-01 10:00:00,332
"256","Central America & Caribbean",1983-07-01 10:00:00,179
"257","Central America & Caribbean",1983-08-01 10:00:00,496
"258","Central America & Caribbean",1983-09-01 10:00:00,672
"259","Central America & Caribbean",1983-10-01 10:00:00,635
"260","Central America & Caribbean",1983-11-01 11:00:00,378
"261","Central America & Caribbean",1983-12-01 11:00:00,410
"262","Central America & Caribbean",1984-01-01 11:00:00,639
"263","Central America & Caribbean",1984-02-01 11:00:00,417
"264","Central America & Caribbean",1984-03-01 11:00:00,492
"265","Central America & Caribbean",1984-04-01 10:00:00,333
"266","Central America & Caribbean",1984-05-01 10:00:00,173
"267","Central America & Caribbean",1984-06-01 10:00:00,402
"268","Central America & Caribbean",1984-07-01 10:00:00,539
"269","Central America & Caribbean",1984-08-01 10:00:00,551
"270","Central America & Caribbean",1984-09-01 10:00:00,505
"271","Central America & Caribbean",1984-10-01 10:00:00,359
"272","Central America & Caribbean",1984-11-01 11:00:00,525
"273","Central America & Caribbean",1984-12-01 11:00:00,177
"274","Central America & Caribbean",1985-01-01 11:00:00,392
"275","Central America & Caribbean",1985-02-01 11:00:00,106
"276","Central America & Caribbean",1985-03-01 11:00:00,168
"277","Central America & Caribbean",1985-04-01 10:00:00,160
"278","Central America & Caribbean",1985-05-01 10:00:00,405
"279","Central America & Caribbean",1985-06-01 10:00:00,126
"280","Central America & Caribbean",1985-07-01 10:00:00,294
"281","Central America & Caribbean",1985-08-01 10:00:00,155
"282","Central America & Caribbean",1985-09-01 10:00:00,41
"283","Central America & Caribbean",1985-10-01 10:00:00,197
"284","Central America & Caribbean",1985-11-01 11:00:00,314
"285","Central America & Caribbean",1985-12-01 11:00:00,376
"286","Central America & Caribbean",1986-01-01 11:00:00,40
"287","Central America & Caribbean",1986-02-01 11:00:00,42
"288","Central America & Caribbean",1986-03-01 11:00:00,37
"289","Central America & Caribbean",1986-04-01 10:00:00,71
"290","Central America & Caribbean",1986-05-01 10:00:00,131
"291","Central America & Caribbean",1986-06-01 10:00:00,28
"292","Central America & Caribbean",1986-07-01 10:00:00,48
"293","Central America & Caribbean",1986-08-01 10:00:00,38
"294","Central America & Caribbean",1986-09-01 10:00:00,66
"295","Central America & Caribbean",1986-10-01 10:00:00,31
"296","Central America & Caribbean",1986-11-01 11:00:00,163
"297","Central America & Caribbean",1986-12-01 11:00:00,60
"298","Central America & Caribbean",1987-01-01 11:00:00,45
"299","Central America & Caribbean",1987-02-01 11:00:00,75
"300","Central America & Caribbean",1987-03-01 11:00:00,124
"301","Central America & Caribbean",1987-04-01 10:00:00,89
"302","Central America & Caribbean",1987-05-01 10:00:00,88
"303","Central America & Caribbean",1987-06-01 10:00:00,168
"304","Central America & Caribbean",1987-07-01 10:00:00,105
"305","Central America & Caribbean",1987-08-01 10:00:00,131
"306","Central America & Caribbean",1987-09-01 10:00:00,94
"307","Central America & Caribbean",1987-10-01 10:00:00,36
"308","Central America & Caribbean",1987-11-01 11:00:00,208
"309","Central America & Caribbean",1987-12-01 11:00:00,51
"310","Central America & Caribbean",1988-01-01 11:00:00,140
"311","Central America & Caribbean",1988-02-01 11:00:00,127
"312","Central America & Caribbean",1988-03-01 11:00:00,30
"313","Central America & Caribbean",1988-04-01 10:00:00,34
"314","Central America & Caribbean",1988-05-01 10:00:00,64
"315","Central America & Caribbean",1988-06-01 10:00:00,36
"316","Central America & Caribbean",1988-07-01 10:00:00,52
"317","Central America & Caribbean",1988-08-01 10:00:00,9
"318","Central America & Caribbean",1988-09-01 10:00:00,73
"319","Central America & Caribbean",1988-10-01 10:00:00,37
"320","Central America & Caribbean",1988-11-01 11:00:00,118
"321","Central America & Caribbean",1988-12-01 11:00:00,19
"322","Central America & Caribbean",1989-01-01 11:00:00,42
"323","Central America & Caribbean",1989-02-01 11:00:00,50
"324","Central America & Caribbean",1989-03-01 11:00:00,22
